"Filename","Category","Width","Height","OpaquePixels","OpaqueCoveragePct","AlphaValueCount","BTIFile","BTILine"
"special g centaur upgrade.tga","Other","64","64","190","4.639","2","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur upgrade.bti","alpha=1 noalphatest fmt=BC3"
"special g centaur.tga","Other","64","64","190","4.639","2","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur.bti","alpha=1 noalphatest fmt=BC3"
"special g cyclops upgrade.tga","Other","128","128","784","4.785","2","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops upgrade.bti","alpha=1 noalphatest fmt=BC3"
"special g cyclops.tga","Other","128","128","784","4.785","2","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops.bti","alpha=1 noalphatest fmt=BC3"
"special g pegasus.tga","Other","128","128","1396","8.521","2","D:\AI_upscaling\AoMEE\extracted\textures\special g pegasus.bti","alpha=1 noalphatest fmt=BC3"
"statue x oranos map.tga","Other","128","128","469","2.863","2","D:\AI_upscaling\AoMEE\extracted\textures\statue x oranos map.bti","alpha=1 noalphatest fmt=BC3"
"trade e caravan basket.tga","Other","128","128","1477","9.015","2","D:\AI_upscaling\AoMEE\extracted\textures\trade e caravan basket.bti","alpha=1 noalphatest fmt=BC3"
"trade g caravan cargo.tga","Other","64","64","242","5.908","2","D:\AI_upscaling\AoMEE\extracted\textures\trade g caravan cargo.bti","alpha=1 noalphatest fmt=BC3"
"villager n oxcart.tga","Other","128","128","294","1.794","2","D:\AI_upscaling\AoMEE\extracted\textures\villager n oxcart.bti","alpha=1 noalphatest fmt=BC3"
"world c statue nuwa stand.tga","World/Terrain","32","64","64","3.125","2","D:\AI_upscaling\AoMEE\extracted\textures\world c statue nuwa stand.bti","alpha=4 noalphatest fmt=BC3"
"world e statue isis.tga","World/Terrain","128","128","287","1.752","2","D:\AI_upscaling\AoMEE\extracted\textures\world e statue isis.bti","alpha=1 noalphatest fmt=BC3"
"world e tent.tga","World/Terrain","128","128","1046","6.384","2","D:\AI_upscaling\AoMEE\extracted\textures\world e tent.bti","alpha=1 noalphatest fmt=BC3"
"world g hades temple.tga","World/Terrain","256","256","1096","1.672","2","D:\AI_upscaling\AoMEE\extracted\textures\world g hades temple.bti","alpha=1 noalphatest fmt=BC3"
"world g shrine map.tga","World/Terrain","128","128","915","5.585","2","D:\AI_upscaling\AoMEE\extracted\textures\world g shrine map.bti","alpha=1 noalphatest fmt=BC3"
"world g statue hades.tga","World/Terrain","128","128","318","1.941","2","D:\AI_upscaling\AoMEE\extracted\textures\world g statue hades.bti","alpha=1 noalphatest fmt=BC3"
"world g statue zeus.tga","World/Terrain","128","128","554","3.381","2","D:\AI_upscaling\AoMEE\extracted\textures\world g statue zeus.bti","alpha=1 noalphatest fmt=BC3"
