"Filename","Category","Width","Height","AlphaValueCount","AlphaType","TransparentPixels","PartialAlpha","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","CoverageGroup","BTIFile"
"cine c danzhu.tga",,"256","256","101","MultiValue","63989","775","772","2.361","1.178","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine c danzhu.bti"
"special g hydra map.tga",,"128","128","3","MultiValue","16097","90","197","1.752","1.202","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g hydra map.bti"
"lp cine x krios.tga",,"128","128","3","MultiValue","16165","21","198","1.337","1.208","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\lp cine x krios.bti"
"building x wall iron.tga",,"256","256","2","Binary","64671","0","865","1.32","1.32","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x wall iron.bti"
"building x roof age0.tga",,"256","256","2","Binary","64668","0","868","1.324","1.324","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x roof age0.bti"
"building x wall stone.tga",,"256","256","2","Binary","64660","0","876","1.337","1.337","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x wall stone.bti"
"building n templeage1.tga",,"256","256","2","Binary","64657","0","879","1.341","1.341","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage1.bti"
"building n templeage2.tga",,"256","256","2","Binary","64657","0","879","1.341","1.341","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage2.bti"
"building n templeage3.tga",,"256","256","2","Binary","64657","0","879","1.341","1.341","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage3.bti"
"special g nemean lion.tga",,"128","128","3","MultiValue","16115","46","223","1.642","1.361","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g nemean lion.bti"
"platform map.tga",,"128","32","2","Binary","4040","0","56","1.367","1.367","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\platform map.bti"
"building n shared06 2 map.tga",,"256","256","2","Binary","64638","0","898","1.37","1.37","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared06 2 map.bti"
"building g age0.tga",,"256","256","2","Binary","64613","0","923","1.408","1.408","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g age0.bti"
"building x tower watch4.tga",,"256","256","2","Binary","64612","0","924","1.41","1.41","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch4.bti"
"cavalry n raiding cavalry horse bronze.tga",,"128","128","3","MultiValue","16136","16","232","1.514","1.416","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse bronze.bti"
"cavalry n raiding cavalry horse copper.tga",,"128","128","3","MultiValue","16136","16","232","1.514","1.416","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse copper.bti"
"cavalry n raiding cavalry horse iron.tga",,"128","128","3","MultiValue","16136","16","232","1.514","1.416","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse iron.bti"
"cavalry n raiding cavalry horse standard.tga",,"128","128","3","MultiValue","16136","16","232","1.514","1.416","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse standard.bti"
"building g settlementage1.tga",,"256","256","2","Binary","64603","0","933","1.424","1.424","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage1.bti"
"building g settlementage3.tga",,"256","256","2","Binary","64603","0","933","1.424","1.424","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage3.bti"
"building n wallage4.tga",,"256","256","3","MultiValue","64590","10","936","1.443","1.428","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n wallage4.bti"
"building x wall bronze.tga",,"256","256","2","Binary","64600","0","936","1.428","1.428","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x wall bronze.bti"
"building n settlementage1.tga",,"256","256","2","Binary","64596","0","940","1.434","1.434","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage1.bti"
"building n settlementage2.tga",,"256","256","2","Binary","64586","0","950","1.45","1.45","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage2.bti"
"infantry x trident soldier head hero.tga",,"64","16","2","Binary","1009","0","15","1.465","1.465","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier head hero.bti"
"building g templeage2.tga",,"256","256","2","Binary","64567","0","969","1.479","1.479","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g templeage2.bti"
