LogicalTGA,SourceClass,ActualPath,Exists,DecodeOK,ActualWidth,ActualHeight,ExpectedWidth,ExpectedHeight,ActualSizeBytes,ExpectedFileSizeKB,SizeOK,DimensionsOK,Status,Error
dlc-frontend/textures/ui/ui button radial 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow down 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow down 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow down 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow left 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow left 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow left 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow right 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow right 32x32 clicked.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow right 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow right 32x32 rollover.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button slider arrow right 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow right 32x32.tga,True,True,32,32,32,32,4114,4.0,False,True,FAIL,file size mismatch; 
