relative_path,source_width,source_height,output_width,output_height,dimension_ok,alpha_ok,output_decode_ok,source_rgba_sha256,output_rgba_sha256,error
textures/ui/ui god loki 32x32.tga,32,32,128,128,True,True,True,fa0c351a555f201b99cad8ea0437f96147c0934eddcb424a751be643b2d556da,2ff0c93f1e08c9ebfea33dc2adc02c0eb271ef4ddf0dac76ecf586fc986173e7,
textures/ui/ui god loki 64x64.tga,64,64,256,256,True,True,True,a4b9ee90a3277fe32b091d3f7dc06db4d94638286de264aae90fbd3414eb30cc,9191e537d381a561e6ca0c0c085feff05727265b670ec09998bc2fa91ea5b6de,
textures/ui/ui god norse random 128x128.tga,128,128,512,512,True,True,True,07663d3218e874aff45a0abbc1b77d6cf3cd3000707b558dfa5e3c1ffef10e89,f7d63a452ee9cd59515aa8efeeacd3e6067fd3dbcf6d6fda4f7e2844e46a9f23,
textures/ui/ui god norse random 256x256.tga,256,256,1024,1024,True,True,True,a3484ece2c77dfa2ac3599e107280cb69fb6cd4a235c7f5847c507b5720a22b8,7354440e2669b519e82294f54f4cfa2214d92865ee6a04fa08f1be2d8e08eb13,
textures/ui/ui god norse random 32x32.tga,32,32,128,128,True,True,True,0d3212ade1befa4afb6f18d986d5e9c9b53c3394f91410bfc3961b2bd77ab34e,c77f0b434585d412fe78c65b20657147cd4fc9a50e0f610394e61f8cefef0708,
textures/ui/ui god norse random 64x64.tga,64,64,256,256,True,True,True,8d724bc9e870d45586ae03dbfbfc4e05832e3222fc15c2a334bfa06a673db234,b7008e1f56d038c798d2b5145b64f6276dfd8513f963bee0194ee99b798b4d15,
textures/ui/ui god nuwa 128x128.tga,128,128,512,512,True,True,True,86296310556fa0cf5c9f2fd8d5c231c77c071a4736130297aba445657e650733,b159aa85bf895dc161ed4d723a3a8b5cae139e55a0db80b0fea7fbd7d3425254,
textures/ui/ui god nuwa 256x256.tga,256,256,1024,1024,True,True,True,3bbec4a60d8564d3c779728a10df799c021c873d5362acebb0028a99b4b58dc8,f2facb14b5ed7ddc30d9887edcb570351ef8687670ad58c26eb1ca1f9c8332c8,
textures/ui/ui god nuwa 32x32.tga,32,32,128,128,True,True,True,cc83c3707fba391fd3a7599943b9ed7111f874b67407248ff6f15a70bd2910e2,8825175f205643edbf72cd3d4c1e70293b0f5c3b9e138d0829aeab975e8030b4,
textures/ui/ui god nuwa 64x64.tga,64,64,256,256,True,True,True,70eb896840cd68acc749c086c4fd11edb02e966e23b517e3a55f57cb9f7404ee,81985f16868528e2577e4d32a2a5942bb14863bfc88a924a8871e900fd17eb1b,
textures/ui/ui god odin 128x128.tga,128,128,512,512,True,True,True,d3cb3440fdcbefb5b39224713d1f542ed834b9240d60d23a80cafa064b3459cc,6c66957ccc59137dd49871f59a812f824410600cba544163e66c0885dc2fceec,
textures/ui/ui god odin 256x256.tga,256,256,1024,1024,True,True,True,32f500b962584633ca5950a3fa4c3c381d81d526df07d1a7e8dbde8a9f2e40fc,ac4eefa9f5f054433ed7f1c1e48e2aff27a6c22db196d8f2f0ce1c67caaa1349,
textures/ui/ui god odin 32x32.tga,32,32,128,128,True,True,True,777f916a0a70e47af0f0aa852796df7a7b6400e62f83e6cc60c40372e761de54,23f7b83864d6c4cb4bbadfa736a1e0c453819d2f1a8b2b9428eee681d6c8abc6,
